06-13 20:50:16.477 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:16.717 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589324, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:16.717 27331  7911 V Capacitor: callback: 72589324, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:16.730 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:16.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589325, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:16.966 27331  7911 V Capacitor: callback: 72589325, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:16.978 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:17.217 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589326, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:17.217 27331  7911 V Capacitor: callback: 72589326, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:17.228 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:17.468 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589327, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:17.469 27331  7911 V Capacitor: callback: 72589327, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:17.478 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:17.718 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589328, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:17.718 27331  7911 V Capacitor: callback: 72589328, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:17.727 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:17.731  3480  4315 W OPLUS_LOG_LOAD: ==LOGS PROG INFO, prog(system_server) ==
06-13 20:50:17.966 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589329, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:17.967 27331  7911 V Capacitor: callback: 72589329, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:17.973 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:18.217 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589330, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:18.217 27331  7911 V Capacitor: callback: 72589330, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
06-13 20:50:18.227 27331 27331 I Capacitor/Console: File:  - Line 333 - Msg: {"available":true,"wired":true,"message":"ExoPlayer gapless queue — content:// locker bridge + HTTP streams.","state":"stopped","positionSecs":1.001,"durationSecs":1,"queueIndex":0,"queueLength":1,"gaplessEnabled":true,"currentUrl":"content://rd.sheepskin.sandboxmusic.locker/locker/__playback_self_test__"}
06-13 20:50:18.399  3250  4158 E msys    : E[N mns:DGWClient]_LogError(280)=>Failed to resolve using system DNS resolver, getaddrinfo(): No address associated with hostname
06-13 20:50:18.400  3250  4158 E msys    : E[N mns:DGWClient]_LogError(280)=>Failed to resolve using system DNS resolver, getaddrinfo(): No address associated with hostname
06-13 20:50:18.468 27331  7911 V Capacitor/Plugin: To native (Capacitor plugin): callbackId: 72589331, pluginId: NativeExoPlayback, methodName: getStatus
06-13 20:50:18.469 27331  7911 V Capacitor: callback: 72589331, pluginId: NativeExoPlayback, methodName: getStatus, methodData: {}
